Segment,Mapping,Annual_Salary,Gender,Education,Living_Region,Age,Online_Consumer,Online_Service_Preference,AI_Endorsement,AI_Privacy_No_Trust ,AI_Enhance_Experience,AI_Satisfication,AI_Tools_Used _Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice&Photo_Search,Number of AI Tools Used,Payment_Method_Credit/Debit,Payment_Method_COD,Payment_Method_Ewallet,Number of Payment Methods Used,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing,Review Rating,Frequency of Purchases (Days),Previous Purchases,Purchase Amount,AI_Tools Applied,Item Purchased,Category,Size,Color,Season,Shipping Type,Frequency of Purchases
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,0,1,1,1,1,1,0,1,2,0,1,0,1,1,1,0,0,1,3.1,30,21,93,Yes,Jeans,Clothing,M,Teal,Winter,Free Shipping,Monthly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,1,1,2,1,1,0,2,0,1,0,1,1,3.5,30,10,141,Yes,Backpack,Accessories,L,Blue,Spring,Store Pickup,Monthly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,Masters? Degree,Metropolitan,Gen Z,1,1,1,1,1,1,1,1,1,3,1,0,1,2,1,1,0,0,1,4.3,30,48,145.5,Yes,Sunglasses,Accessories,S,Black,Fall,Standard,Monthly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,1,1,0,1,1,1,1,0,2,1,0,1,2,0,1,0,0,1,3.5,7,5,97.5,Yes,Shorts,Clothing,XL,Brown,Spring,Express,Weekly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,Highschool Graduate,Metropolitan,Gen Z,1,0,1,0,1,1,1,1,1,3,0,1,1,2,1,1,1,1,1,4.1,14,10,48,Yes,Handbag,Accessories,M,Gold,Fall,Express,Fortnightly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,Masters? Degree,Metropolitan,Gen Z,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,4.6,360,9,60,Yes,Belt,Accessories,M,Lavender,Winter,Free Shipping,Annually
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,3.1,30,18,75,Yes,Shirt,Clothing,M,Black,Winter,2-Day Shipping,Monthly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,0,1,1,0,0,1,1,1,1,0,2,0,1,1,1,1,3.8,7,46,132,Yes,Handbag,Accessories,L,Turquoise,Fall,Standard,Weekly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,4,30,1,54,Yes,Scarf,Accessories,S,Green,Winter,Store Pickup,Monthly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,Masters? Degree,Metropolitan,Gen Z,1,1,1,1,1,1,1,1,1,3,1,1,1,3,0,0,0,1,1,4.1,14,32,42,Yes,Coat,Outerwear,S,Yellow,Winter,Express,Fortnightly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,1,1,1,1,1,0,1,1,2,1,1,1,3,0,0,0,1,1,5,90,5,67.5,Yes,Scarf,Accessories,M,Charcoal,Fall,Next Day Air,Every 3 Months
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,3.7,14,12,85.5,Yes,Shirt,Clothing,L,Olive,Winter,2-Day Shipping,Fortnightly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,0,1,1,1,3,1,1,1,3,0,1,0,1,1,3,30,13,37.5,Yes,Shorts,Clothing,M,Beige,Fall,Next Day Air,Monthly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,3.5,360,5,144,Yes,Socks,Clothing,XL,Violet,Fall,Express,Annually
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,Doctorate Degree,Metropolitan,Gen Z,1,1,1,0,1,1,0,0,1,1,0,1,1,2,0,0,0,0,1,4.8,14,23,129,Yes,Jacket,Outerwear,XL,Green,Fall,2-Day Shipping,Fortnightly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3.9,7,35,46.5,Yes,Hat,Accessories,S,Peach,Winter,Express,Weekly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,1,1,1,3,1,1,1,3,0,0,0,0,1,4.4,90,2,150,Yes,Dress,Clothing,S,Turquoise,Winter,Next Day Air,Every 3 Months
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3,7,41,106.5,Yes,Boots,Footwear,M,Teal,Spring,Standard,Weekly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3.3,90,9,43.5,Yes,Dress,Clothing,XL,Magenta,Winter,2-Day Shipping,Every 3 Months
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,3.8,90,20,85.5,Yes,Coat,Outerwear,M,Magenta,Fall,2-Day Shipping,Every 3 Months
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,Doctorate Degree,Metropolitan,Gen Z,1,1,1,1,1,1,1,1,1,3,1,1,1,3,0,0,0,0,1,4.9,14,17,105,Yes,Sandals,Footwear,S,Teal,Spring,Free Shipping,Fortnightly
Female_Gen Z_Rural Areas_Medium,Female_Gen Z,Medium,Female,Highschool Graduate,Rural Areas,Gen Z,1,1,1,1,1,1,0,0,0,0,1,1,1,3,0,0,0,0,1,4.9,14,34,105,Yes,Sunglasses,Accessories,M,Lavender,Summer,Free Shipping,Fortnightly
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,1,1,0,2,1,1,0,2,0,0,0,0,1,4.5,90,26,57,Yes,Skirt,Clothing,M,Silver,Spring,Next Day Air,Quarterly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,Masters? Degree,Metropolitan,Gen Z,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,3,7,31,49.5,Yes,Dress,Clothing,XL,Magenta,Winter,2-Day Shipping,Weekly
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4.8,90,43,91.5,Yes,Skirt,Clothing,L,Beige,Winter,Store Pickup,Quarterly
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,1,0,1,2,0,0,1,1,0,0,0,0,1,3.7,14,50,123,Yes,Sunglasses,Accessories,XL,Lavender,Summer,Next Day Air,Bi-Weekly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,4.9,7,36,109.5,Yes,Sunglasses,Accessories,S,Black,Fall,Free Shipping,Weekly
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,Masters? Degree,Metropolitan,Gen Z,1,0,1,1,1,1,1,1,1,3,1,0,1,2,1,1,0,0,1,3.9,90,15,66,Yes,Jacket,Outerwear,M,Yellow,Winter,2-Day Shipping,Every 3 Months
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,Masters? Degree,Metropolitan,Gen Z,1,0,1,1,1,1,1,0,1,2,1,1,0,2,1,1,0,0,0,4.6,14,2,69,Yes,Handbag,Accessories,L,Lavender,Fall,Next Day Air,Bi-Weekly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,1,1,0,1,1,1,0,1,2,1,1,1,3,0,1,0,0,1,3.8,90,26,145.5,Yes,Blouse,Clothing,S,Green,Fall,Express,Every 3 Months
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,Masters? Degree,Metropolitan,Gen Z,1,1,1,1,1,1,1,0,1,2,1,1,0,2,0,1,0,0,1,2.7,14,37,120,Yes,Shirt,Clothing,M,Gold,Winter,Next Day Air,Fortnightly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,3,14,20,114,Yes,Sweater,Clothing,S,Maroon,Fall,Free Shipping,Fortnightly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,Masters? Degree,Metropolitan,Gen Z,1,1,1,0,1,1,0,1,1,2,1,0,1,2,0,1,1,0,1,3.5,14,47,136.5,Yes,Coat,Outerwear,M,Gold,Spring,2-Day Shipping,Fortnightly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,Highschool Graduate,Rural Areas,Gen Z,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,2.7,14,13,57,Yes,Blouse,Clothing,L,Yellow,Summer,Standard,Bi-Weekly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,0,1,1,1,1,1,0,1,2,0,0,0,0,1,1,1,1,1,3.4,14,35,90,Yes,Hat,Accessories,M,Purple,Winter,Express,Bi-Weekly
Female_Gen Z_Suburban Areas_High,Female_Gen Z,High,Female,University Graduate,Suburban Areas,Gen Z,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,3.2,30,9,136.5,Yes,Coat,Outerwear,L,Beige,Winter,Next Day Air,Monthly
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,1,0,1,2,1,1,0,2,1,1,1,0,1,3.4,7,31,79.5,Yes,Backpack,Accessories,M,Gold,Spring,Standard,Weekly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,4.5,14,31,103.5,Yes,Coat,Outerwear,S,Olive,Summer,Free Shipping,Bi-Weekly
Female_Gen Z_Metropolitan_Medium High,Female_Gen Z,Medium High,Female,University Graduate,Metropolitan,Gen Z,1,0,1,1,1,1,0,1,1,2,0,1,0,1,0,0,1,0,0,3.9,30,21,55.5,Yes,Hoodie,Clothing,L,White,Winter,Express,Monthly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,Masters? Degree,Metropolitan,Gen Z,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,4,14,16,120,Yes,Dress,Clothing,XL,Charcoal,Winter,Next Day Air,Bi-Weekly
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,University Graduate,Rural Areas,Gen Z,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,2.6,30,29,130.5,Yes,Scarf,Accessories,L,Charcoal,Summer,2-Day Shipping,Monthly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,University Graduate,Metropolitan,Gen Z,1,1,1,0,1,1,1,0,1,2,0,1,1,2,0,1,0,1,1,3.1,14,13,111,Yes,Shoes,Footwear,L,Indigo,Winter,2-Day Shipping,Fortnightly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,University Graduate,Metropolitan,Gen Z,1,1,1,0,1,1,1,0,1,2,0,1,1,2,1,0,1,0,1,4.9,30,16,141,Yes,Jewelry,Accessories,S,Teal,Spring,Free Shipping,Monthly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,1,0,0,1,1,2,1,1,0,2,0,1,1,1,0,4.9,14,43,34.5,Yes,Jewelry,Accessories,S,Maroon,Winter,Free Shipping,Bi-Weekly
Female_Gen Z_Rural Areas_High,Female_Gen Z,High,Female,University Graduate,Rural Areas,Gen Z,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,4.1,14,10,37.5,Yes,Sneakers,Footwear,L,Olive,Spring,Standard,Fortnightly
Female_Gen Z_Suburban Areas_Low,Female_Gen Z,Low,Female,University Graduate,Suburban Areas,Gen Z,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,4.8,14,12,39,Yes,Sweater,Clothing,M,Turquoise,Fall,Next Day Air,Bi-Weekly
Female_Gen Z_Metropolitan_Medium High,Female_Gen Z,Medium High,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,3.1,14,11,144,Yes,Blouse,Clothing,M,Magenta,Fall,Next Day Air,Bi-Weekly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,4.6,14,11,36,Yes,Handbag,Accessories,M,Cyan,Fall,Standard,Fortnightly
Female_Gen Z_Suburban Areas_Low,Female_Gen Z,Low,Female,Highschool Graduate,Suburban Areas,Gen Z,1,1,1,0,1,1,1,1,1,3,0,0,1,1,1,1,1,1,1,3,30,18,105,Yes,Belt,Accessories,S,Brown,Summer,Next Day Air,Monthly
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,4.2,30,47,34.5,Yes,Blouse,Clothing,M,Green,Spring,Next Day Air,Monthly
Female_Gen Z_Suburban Areas_Medium High,Female_Gen Z,Medium High,Female,Highschool Graduate,Suburban Areas,Gen Z,1,0,1,1,1,1,1,1,0,2,1,0,0,1,0,0,0,1,0,3.4,14,4,90,Yes,Belt,Accessories,S,Turquoise,Summer,Next Day Air,Fortnightly
Female_Gen Z_Suburban Areas_Low,Female_Gen Z,Low,Female,Highschool Graduate,Suburban Areas,Gen Z,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,3.6,14,35,148.5,Yes,Gloves,Accessories,M,Cyan,Fall,Store Pickup,Fortnightly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,0,0,1,1,1,3,1,0,1,2,0,0,0,0,1,4.6,90,34,72,Yes,Sneakers,Footwear,M,Gold,Summer,Free Shipping,Every 3 Months
Female_Gen Z_Metropolitan_Low,Female_Gen Z,Low,Female,University Graduate,Metropolitan,Gen Z,1,1,1,1,0,0,1,1,1,3,1,1,0,2,0,0,0,1,0,4.2,90,27,75,No,Socks,Clothing,L,Orange,Winter,Store Pickup,Every 3 Months
Female_Gen Z_Suburban Areas_High,Female_Gen Z,High,Female,Highschool Graduate,Suburban Areas,Gen Z,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.9,14,33,55,No,Sneakers,Footwear,L,White,Summer,Next Day Air,Fortnightly
Female_Gen Z_Metropolitan_High,Female_Gen Z,High,Female,Highschool Graduate,Metropolitan,Gen Z,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,4.9,360,37,54,Yes,Pants,Clothing,L,Pink,Winter,Standard,Annually
Female_Gen Z_Rural Areas_Low,Female_Gen Z,Low,Female,Highschool Graduate,Rural Areas,Gen Z,0,1,1,0,0,0,1,1,1,3,1,0,0,1,1,0,1,1,1,2.7,90,10,100.5,Yes,Boots,Footwear,M,Magenta,Winter,Free Shipping,Quarterly
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,University Graduate,Metropolitan,Gen Z,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4.1,14,3,111,Yes,Sneakers,Footwear,M,Violet,Fall,2-Day Shipping,Bi-Weekly
Female_Gen Z_Rural Areas_High,Female_Gen Z,High,Female,Highschool Graduate,Rural Areas,Gen Z,1,1,0,1,1,1,0,0,0,0,1,0,1,2,0,0,0,0,1,4.9,30,25,121.5,Yes,Belt,Accessories,XL,Indigo,Spring,Free Shipping,Monthly
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,University Graduate,Metropolitan,Gen Z,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,4.7,14,45,84,Yes,Handbag,Accessories,M,Olive,Spring,Store Pickup,Bi-Weekly
Female_Gen Z_Suburban Areas_Medium,Female_Gen Z,Medium,Female,Highschool Graduate,Suburban Areas,Gen Z,1,0,0,1,1,0,1,1,0,2,1,0,0,1,0,1,1,1,1,4.9,90,19,124.5,Yes,Shirt,Clothing,S,Yellow,Winter,Free Shipping,Every 3 Months
Female_Gen Z_Metropolitan_Medium,Female_Gen Z,Medium,Female,University Graduate,Metropolitan,Gen Z,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,3.1,14,5,51,Yes,Belt,Accessories,L,Red,Fall,Store Pickup,Fortnightly
Female_Gen Z_Rural Areas_Medium,Female_Gen Z,Medium,Female,Highschool Graduate,Rural Areas,Gen Z,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.2,90,28,114,Yes,T-shirt,Clothing,M,Yellow,Winter,Standard,Every 3 Months
Female_Gen Z_Suburban Areas_Medium High,Female_Gen Z,Medium High,Female,Highschool Graduate,Suburban Areas,Gen Z,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,4.9,30,11,46.5,Yes,Sweater,Clothing,S,Magenta,Winter,Store Pickup,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Doctorate Degree,Metropolitan,Millennials,1,1,1,0,1,1,1,1,0,2,1,0,0,1,0,1,1,0,1,4.1,14,44,147,Yes,Boots,Footwear,M,Magenta,Summer,Standard,Bi-Weekly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,2.9,30,35,78,Yes,Handbag,Accessories,M,Green,Fall,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,0,1,1,2,1,0,1,2,0,1,0,0,1,5,14,28,127.5,Yes,Sweater,Clothing,L,Orange,Fall,Express,Bi-Weekly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,0,1,1,2,0,0,1,1,1,4.3,30,48,150,Yes,Coat,Outerwear,L,Green,Fall,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,2.9,7,49,57,Yes,Shirt,Clothing,M,Gold,Spring,Next Day Air,Weekly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,1,1,3,0,1,1,0,1,3.7,14,27,145.5,Yes,Skirt,Clothing,M,Silver,Fall,Free Shipping,Fortnightly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,1,1,0,0,0,0,1,1,1,3,1,1,1,1,1,2.9,30,34,57,Yes,Socks,Clothing,XL,Orange,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,0,1,2,1,1,1,1,1,4.2,30,12,105,Yes,Shirt,Clothing,M,Magenta,Spring,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,0,1,0,1,1,1,1,1,3,1,0,1,2,1,0,0,1,1,4.3,7,15,58.5,Yes,Handbag,Accessories,M,White,Spring,2-Day Shipping,Weekly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,3,30,15,79.5,Yes,Sunglasses,Accessories,M,Violet,Fall,Standard,Monthly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,1,0,1,2,0,0,0,1,1,3.8,14,37,130.5,Yes,Backpack,Accessories,XL,Turquoise,Fall,Next Day Air,Fortnightly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2.7,30,42,103.5,Yes,Scarf,Accessories,XL,White,Fall,Free Shipping,Monthly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,1,1,0,2,0,0,0,0,1,4,14,39,75,Yes,Pants,Clothing,S,Charcoal,Winter,Express,Bi-Weekly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,1,1,1,1,0,2,1,0,1,2,0,0,0,0,1,4,14,3,136.5,Yes,Handbag,Accessories,M,Turquoise,Summer,2-Day Shipping,Bi-Weekly
Female_Millennials_Rural Areas_Low,Female_Millennials,Low,Female,University Graduate,Rural Areas,Millennials,1,1,1,1,1,1,0,0,1,1,1,0,1,2,0,0,0,0,1,2.8,30,15,111,Yes,T-shirt,Clothing,L,Gray,Winter,Standard,Monthly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,1,1,0,1,1,2,1,0,0,1,0,0,0,0,1,4.2,14,47,130.5,Yes,Blouse,Clothing,M,White,Summer,Store Pickup,Bi-Weekly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,1,1,0,1,1,2,1,1,1,3,0,0,0,0,1,4.3,7,12,117,Yes,Skirt,Clothing,M,Violet,Spring,Next Day Air,Weekly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3.1,30,14,132,Yes,Jeans,Clothing,S,Orange,Spring,Next Day Air,Monthly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,0,0,0,0,1,1,1,3,1,1,0,0,0,4.3,14,44,124.5,Yes,Hoodie,Clothing,M,Charcoal,Spring,Standard,Fortnightly
Female_Millennials_Rural Areas_Low,Female_Millennials,Low,Female,University Graduate,Rural Areas,Millennials,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,4,14,47,100.5,Yes,Gloves,Accessories,M,Maroon,Fall,2-Day Shipping,Bi-Weekly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,0,0,0,1,1,1,1,0,2,0,1,0,0,0,4.6,14,18,108,Yes,T-shirt,Clothing,M,Magenta,Fall,Standard,Fortnightly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,1,1,0,0,1,1,1,1,1,3,0,0,1,0,1,3.4,30,11,115.5,Yes,Socks,Clothing,M,Peach,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,1,0,1,2,0,0,1,0,0,3.4,30,2,126,Yes,Handbag,Accessories,XL,Charcoal,Summer,Store Pickup,Monthly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,1,0,1,2,0,0,0,1,0,3.2,90,2,97.5,Yes,Skirt,Clothing,L,Teal,Summer,Free Shipping,Every 3 Months
Female_Millennials_Rural Areas_High,Female_Millennials,High,Female,University Graduate,Rural Areas,Millennials,1,1,1,1,1,1,1,0,1,2,1,1,0,2,0,0,1,1,1,4.7,30,50,123,Yes,Boots,Footwear,M,Teal,Spring,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,0,1,2,0,0,0,1,1,4.2,30,46,144,Yes,Hoodie,Clothing,M,Olive,Spring,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,1,1,2,1,1,0,2,1,1,0,1,1,3.9,30,47,52.5,Yes,Blouse,Clothing,M,Orange,Fall,Standard,Monthly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Highschool Graduate,Suburban Areas,Millennials,1,0,1,1,1,0,0,0,0,0,1,0,1,2,0,1,1,1,1,4.6,30,40,55.5,Yes,Scarf,Accessories,M,Magenta,Summer,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,0,1,0,1,1,1,0,2,1,1,1,0,1,3.8,30,33,142.5,Yes,Boots,Footwear,S,Maroon,Winter,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,1,0,1,1,1,0,2,0,0,0,1,1,3.5,14,14,123,Yes,Backpack,Accessories,M,Yellow,Summer,Next Day Air,Bi-Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,0,1,1,0,1,1,1,1,1,3,0,0,1,1,0,1,1,0,1,3.4,30,37,66,Yes,Shirt,Clothing,M,Orange,Spring,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,0,1,1,2,0,0,1,1,1,0,1,1,1,2.5,14,42,144,Yes,Jeans,Clothing,M,Orange,Summer,Standard,Bi-Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,4.7,30,28,43.5,Yes,Coat,Outerwear,L,Charcoal,Summer,Express,Monthly
